Accounts Account Status,Accounts Angaza ID,Accounts Area,Accounts Country,Accounts Date of Disablement Utc Date,Accounts Date of Latest Payment Utc Date,Accounts Date of Registration Date,Accounts Days Disabled,Accounts Days to Cutoff,Accounts Disabled (Yes / No),Accounts Minimum Payment Amount,Accounts Minimum Payment Amount USD,Accounts Price per Day,Accounts Price per Day USD,Accounts Product Name,Accounts Region,Accounts Registering User Angaza ID,Accounts Unit Age Days,Accounts Unit Proportional Age,Accounts Unlock Price,Accounts Unlock Price USD,Accounts Upfront Days Included,Accounts Upfront Price,Accounts Upfront Price USD,Accounts Zone
DISABLED,AC524870,Moyo,Uganda,9/16/19,9/14/19,5/31/18,3,-3.17,Yes,550,0.146284377,560,0.15,Pro,Nyanza,US010662,476,1.7,"195,080",52,7,"43,900",11.70275015,West
ENABLED,AC514236,Songwe,Tanzania,9/21/19,9/18/19,5/22/18,,2.3,No,1350,0.585137507,1360,0.59,Home 120 Plus + Radio,South Rift,US018144,485,1.7,"425,675",185,7,"58,300",25.35595865,West
UNLOCKED,AC497334,Embu,Kenya,,5/9/18,5/9/18,,,No,0,0,0,,Boom,Nairobi,US019955,498,,"4,815",47,0,"4,800",46.81100059,East
DISABLED,AC522711,Abuja,Nigeria,12/25/18,12/22/18,5/29/18,268,-267.63,Yes,70,0.195045836,70,0.2,Boom,Western,US014038,478,1.7,"23,695",65,7,"4,300",11.70275015,West
UNLOCKED,AC543397,Keroka,Kenya,,6/14/18,6/14/18,,,No,0,0,0,,Home 120,West West,US023059,462,,"13,520",132,7,"13,500",131.618635,
DISABLED,AC521067,Ibanda,Uganda,9/5/19,9/4/19,5/28/18,13,-13.02,Yes,730,0.195045836,750,0.2,Boom,Rift Valley,US020793,479,1.7,"243,850",65,7,"43,900",11.70275015,East
DISABLED,AC488160,Busia UG,Uganda,9/18/19,9/17/19,5/3/18,1,-1.01,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,North Rift,US007519,504,1.8,"517,705",138,7,"69,500",18.5293544,East
ENABLED,AC538626,Bauchi,Nigeria,9/20/19,9/18/19,6/11/18,,2.2,No,160,0.43885313,160,0.44,Home 60 + Radio,Coast,US019337,465,1.7,"50,305",138,7,"6,800",18.5293544,East
DISABLED,AC515850,Pyay,Myanmar (Burma),4/4/19,3/22/19,5/23/18,168,-167.76,Yes,380,0.240051211,380,0.24,Boom,Northern,US021300,484,1.7,"119,300",76,7,"16,700",10.66894271,
UNLOCKED,AC526573,Mwanza,Tanzania,,2/26/19,6/1/18,,,No,450,0.195045836,460,0.2,Boom,Central,US014637,475,1.7,"149,560",65,7,"26,900",11.70275015,West
UNLOCKED,AC503424,Moyo,Uganda,,2/25/19,5/14/18,,,No,730,0.195045836,750,0.2,Boom,Nyanza,US009673,493,1.8,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC514463,Bomet,Kenya,,5/22/18,5/22/18,,,No,1280,12.5121646,0,,Home 40-Z,UP,US018473,485,,"5,430",53,0,"1,300",12.5121646,
DISABLED,AC564212,Kyotera,Uganda,3/26/19,3/24/19,6/29/18,176,-175.99,Yes,730,0.195045836,750,0.2,Boom,Nyanza,US017243,447,1.6,"243,850",65,7,"43,900",11.70275015,West
DISABLED,AC553344,Mbita,Kenya,9/19/19,9/17/19,6/22/18,0,-0.01,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US009015,454,1.6,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC485170,Songwe,Tanzania,11/4/18,10/29/18,5/1/18,319,-318.85,Yes,450,0.195045836,460,0.2,Boom,South Rift,US011584,506,1.8,"149,560",65,7,"26,900",11.70275015,West
ENABLED,AC494926,Abuja,Nigeria,9/19/19,9/18/19,5/8/18,,1.09,No,160,0.43885313,160,0.44,Home 60 + Radio,Western,US011720,499,1.8,"50,305",138,7,"6,800",18.5293544,West
UNLOCKED,AC522232,Nebbi,Uganda,,8/25/19,5/29/18,,,No,730,0.195045836,750,0.2,Boom,South Nyanza,US019432,478,1.7,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC497436,Bago,Myanmar (Burma),,4/7/19,5/9/18,,,No,540,0.341330213,530,0.34,Home 60 + Radio,Central,US003871,498,1.3,"224,475",143,7,"29,100",18.5293544,West
UNLOCKED,AC536462,Abuja,Nigeria,,4/6/19,6/9/18,,,No,210,0.585137507,220,0.59,Home 120 Plus + Radio,Western,US008889,467,1.7,"67,435",185,7,"9,200",25.35595865,West
UNLOCKED,AC520928,Mwingi,Kenya,,4/29/19,5/28/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Central,US007103,479,1.7,"14,135",138,7,"1,900",18.5293544,West
