April Collections Calls List Angaza ID,April Collections Calls List Date Called Date,April Collections Calls List Reachability
AC542518,4/15/19,Not Reached
AC542574,4/25/19,Not Reached
AC537471,4/18/19,Reached
AC559761,4/23/19,Not Reached
AC531209,4/15/19,Not Reached
AC565400,4/15/19,Not Reached
AC537535,4/16/19,Not Reached
AC526545,4/17/19,Reached
AC535860,4/3/19,Reached
AC556577,4/9/19,Reached
AC558602,4/4/19,Not Reached
AC545590,4/23/19,Not Reached
AC560721,4/23/19,Not Reached
AC487590,4/8/19,Reached
AC565033,4/18/19,Reached
AC491018,4/3/19,Not Reached
AC534730,4/17/19,Not Reached
AC485593,4/16/19,Not Reached
AC512847,4/10/19,Not Reached
AC490365,4/26/19,Reached
AC549532,4/23/19,Reached
AC531140,4/24/19,Not Reached
AC551182,5/1/19,Not Reached
AC540271,4/16/19,Not Reached
AC541039,4/2/19,Not Reached
AC554290,4/10/19,Reached
AC503782,4/15/19,Reached
AC532031,4/24/19,Not Reached
AC492515,4/16/19,Reached
AC560322,4/24/19,Reached
AC501955,4/24/19,Not Reached
AC498766,4/16/19,Not Reached
AC500635,4/3/19,Not Reached
AC562675,4/23/19,Reached
AC564339,4/2/19,Reached
AC553766,4/9/19,Not Reached
AC525714,4/24/19,Not Reached
AC542100,4/10/19,Not Reached
AC534140,4/12/19,Not Reached
AC522552,4/3/19,Not Reached
AC507385,4/23/19,Not Reached
AC510629,4/9/19,Not Reached
AC531283,4/5/19,Not Reached
AC517395,4/3/19,Not Reached
AC542592,4/3/19,Reached
AC508352,4/16/19,Reached
AC520103,4/18/19,Not Reached
AC532708,4/18/19,Reached
AC523339,4/15/19,Not Reached
AC514462,4/23/19,Not Reached
AC509948,4/2/19,Not Reached
AC531205,4/15/19,Not Reached
AC560888,4/27/19,Not Reached
AC521470,4/15/19,Not Reached
AC506020,4/2/19,Not Reached
AC512095,4/16/19,Not Reached
AC544746,4/16/19,Not Reached
AC564898,4/3/19,Not Reached
AC503421,4/25/19,Not Reached
AC513552,4/10/19,Not Reached
AC564083,4/12/19,Not Reached
AC552660,4/2/19,Not Reached
AC519973,4/8/19,Reached
AC550469,4/3/19,Not Reached
AC519742,4/8/19,Not Reached
AC512435,4/15/19,Not Reached
AC497774,4/24/19,Not Reached
AC488445,4/1/19,Not Reached
AC519771,4/2/19,Not Reached
AC542092,4/3/19,Not Reached
AC522267,4/8/19,Reached
